time_s,mdot_kg_s
573.9995342,-7.98184E-06
575.1661999,-7.63816E-06
576.3328656,-7.30927E-06
577.4995313,-6.99454E-06
578.6661971,-6.69337E-06
579.8328628,-6.40516E-06
580.9995285,-6.12937E-06
582.1661942,-5.86544E-06
583.3328599,-5.61289E-06
584.4995257,-5.37121E-06
585.6661914,-5.13993E-06
586.8328571,-4.91861E-06
587.9995228,-4.70682E-06
589.1661885,-4.50416E-06
590.3328543,-4.31021E-06
591.49952,-4.12462E-06
592.6661857,-3.94702E-06
593.8328514,-3.77707E-06
594.9995171,-3.61444E-06
596.1661829,-3.4588E-06
597.3328486,-3.30987E-06
598.4995143,-3.16735E-06
599.66618,-3.03097E-06
600.8328457,-2.90046E-06
601.9995115,-2.77557E-06
603.1661772,-2.65606E-06
604.3328429,-2.5417E-06
605.4995086,-2.43226E-06
606.6661743,-2.32753E-06
607.8328401,-2.22731E-06
608.9995058,-2.1314E-06
610.1661715,-2.03963E-06
611.3328372,-1.9518E-06
612.4995029,-1.86776E-06
613.6661687,-1.78734E-06
614.8328344,-1.71038E-06
615.9995001,-1.63673E-06
617.1661658,-1.56626E-06
618.3328315,-1.49882E-06
619.4994973,-1.43428E-06
620.666163,-1.37252E-06
621.8328287,-1.31342E-06
622.9994944,-1.25687E-06
624.1661601,-1.20275E-06
625.3328258,-1.15096E-06
626.4994916,-1.1014E-06
627.6661573,-1.05398E-06
628.832823,-1.0086E-06
629.9994887,-9.65168E-07
631.1661544,-9.23609E-07
632.3328202,-8.8384E-07
633.4994859,-8.45783E-07
634.6661516,-8.09365E-07
635.8328173,-7.74515E-07
636.999483,-7.41166E-07
638.1661488,-7.09252E-07
639.3328145,-6.78713E-07
640.4994802,-6.49489E-07
641.6661459,-6.21523E-07
642.8328116,-5.94761E-07
643.9994774,-5.69151E-07
645.1661431,-5.44645E-07
646.3328088,-5.21193E-07
647.4994745,-4.98751E-07
648.6661402,-4.77276E-07
649.832806,-4.56725E-07
650.9994717,-4.37059E-07
652.1661374,-4.1824E-07
653.3328031,-4.00231E-07
654.4994688,-3.82998E-07
655.6661346,-3.66507E-07
656.8328003,-3.50725E-07
657.999466,-3.35624E-07
659.1661317,-3.21172E-07
660.3327974,-3.07343E-07
661.4994632,-2.94109E-07
662.6661289,-2.81446E-07
663.8327946,-2.69327E-07
664.9994603,-2.5773E-07
666.166126,-2.46633E-07
667.3327918,-2.36013E-07
668.4994575,-2.25851E-07
669.6661232,-2.16126E-07
670.8327889,-2.0682E-07
671.9994546,-1.97915E-07
673.1661204,-1.89393E-07
674.3327861,-1.81238E-07
675.4994518,-1.73434E-07
676.6661175,-1.65966E-07
677.8327832,-1.5882E-07
678.999449,-1.51981E-07
680.1661147,-1.45437E-07
681.3327804,-1.39175E-07
682.4994461,-1.33182E-07
683.6661118,-1.27448E-07
684.8327776,-1.2196E-07
685.9994433,-1.16709E-07
687.166109,-1.11683E-07
688.3327747,-1.06874E-07
689.4994404,-1.02272E-07
690.6661062,-9.78688E-08
691.8327719,-9.36547E-08
692.9994376,-8.96221E-08
694.1661033,-8.57631E-08
695.332769,-8.20703E-08
696.4994348,-7.85365E-08
697.6661005,-7.51548E-08
698.8327662,-7.19187E-08
