COP_PHYS,COP_ANN
0.406787873,0.406126271
0.414896304,0.414799631
0.389692186,0.389640237
0.405652405,0.405907219
0.413177469,0.413020639
0.397377188,0.396826627
0.40659518,0.406380701
0.406392638,0.405753303
0.405267459,0.405835701
0.400661248,0.401395869
0.409888995,0.409658413
0.40956893,0.408812318
0.409875909,0.409625505
0.410491512,0.410712642
0.401925885,0.402059456
0.405753825,0.405576468
0.413728373,0.413467277
0.414149465,0.414072617
0.398470074,0.397778208
0.413950196,0.41378314
0.403729761,0.403654156
0.407434216,0.407060204
0.401756712,0.402185793
0.405148629,0.404576794
0.410916756,0.410976554
0.411251321,0.411624858
0.41306555,0.413057518
0.396635238,0.395690174
0.409044749,0.407957678
0.409361191,0.409527227
0.406976592,0.406682742
0.413425296,0.413340551
0.412260468,0.412171385
0.411540316,0.411661719
0.412195523,0.412226771
0.411018939,0.411093591
0.410379961,0.410241311
0.397223689,0.397424327
0.410128185,0.41125178
0.401207272,0.401381755
0.41337694,0.413307264
0.408998199,0.40852907
0.385608143,0.385872567
0.403335709,0.403249064
0.414826445,0.414674239
0.412677129,0.412502282
0.409422476,0.408586182
0.412500311,0.412360789
0.402036807,0.402309644
0.404300747,0.403785737
0.413321491,0.413931862
0.409704164,0.409282103
0.410984795,0.410398509
0.41018883,0.409790861
0.408697866,0.408161556
0.413188492,0.413003069
0.415158441,0.415229918
0.406328637,0.405687648
0.412813973,0.412926417
0.375083408,0.375040151
0.414809332,0.414608091
0.412126354,0.412084993
0.412126582,0.412408876
0.410585883,0.410976144
0.410909046,0.410807006
0.40692172,0.406367965
0.414294426,0.41409684
0.414822773,0.41456915
0.403556744,0.403734619
0.404532811,0.404523844
0.406720259,0.406509874
0.400514683,0.400893435
0.410024121,0.40986159
0.414784342,0.414794625
0.4087527,0.408373246
0.401063188,0.400890468
0.40268726,0.402700286
0.378000917,0.377123038
0.393946314,0.394019403
0.414390603,0.414239226
0.391124169,0.391918945
0.412091555,0.412420662
0.413833004,0.413860812
0.387962544,0.388312204
0.407668229,0.407448605
0.413609174,0.413387519
0.383078648,0.382743858
0.376760865,0.375711055
0.401558186,0.401553276
0.405980424,0.405512564
0.411405037,0.41176959
0.411575836,0.411662343
