Qe_ANN_W,Err_Qe_W
11609.80556,138.7792292
7653.531679,4.808818718
17382.61807,-194.1320058
7198.071627,-65.33839908
11602.2497,48.5219077
7391.849932,-1.009524078
5727.348376,61.88772237
9861.7143,11.86270818
7432.021415,-64.76593143
23102.85155,-190.9699947
7350.027359,-27.51031993
6557.905174,43.83781734
6337.439904,100.300018
5937.255074,5.819953059
7646.468694,5.363025419
6710.454695,83.8928187
5664.330175,11.5594556
6892.151105,34.55156496
20745.24003,334.4648861
16786.3692,63.3745473
11949.67547,47.13034258
6076.047578,85.87155145
7486.942034,-89.54559518
10029.34934,-205.8541347
7680.24478,-40.13856269
8504.038356,24.4215526
6998.685689,16.69258159
9407.175018,-3.401001309
24612.84405,-58.39260781
12772.01997,-187.8981566
8027.238227,91.88374651
6575.387763,66.90067443
7271.874751,-68.74018875
23438.80001,-244.4091686
6537.074038,101.5356091
10773.24494,-91.8403852
8510.468148,103.4715007
17647.13031,-57.14390888
15720.35963,131.496398
6149.166863,142.9673697
8041.239202,42.66366044
14656.85987,131.653937
7821.460571,-11.93060141
17459.01027,-9.111226079
8592.539081,19.29485092
8236.547842,55.56536201
7770.959183,-0.590805201
7299.168893,20.85656365
9684.981185,-181.6838115
5828.650179,28.4326648
31668.97164,-351.6430399
7744.476091,-36.95133571
9817.068944,-90.55119515
6469.587719,68.55516643
11524.52178,91.0623145
8456.091319,52.49113315
7689.164383,31.42087476
7613.084168,-60.32113379
8908.320624,106.071659
17536.16786,-38.97083131
12755.27254,26.98926036
13154.63288,-141.7281191
18607.85315,106.2144548
10682.46052,-106.2624528
6328.622142,100.0269425
6646.871693,75.87188825
12947.88387,24.94045088
10259.00647,-60.50191423
29917.22758,-150.1273858
19375.10975,125.4825464
7393.244437,-67.32500519
22781.86506,-138.8656552
6246.918462,56.49019964
12593.04828,-12.25401215
21436.0754,281.0504389
5582.023375,34.95953466
7748.278366,-23.81080811
24473.66114,272.4656118
29399.77349,258.5174972
9008.687599,-1.284356894
6793.089676,54.56231265
10902.03771,20.69020454
15462.4859,90.44918127
5974.357315,46.11369962
8370.363177,62.13930278
6015.072278,61.30398803
9588.992777,-132.4026648
25017.94591,98.13952796
5221.778756,-69.88308822
26718.05978,359.9599496
6526.715574,71.94818959
5804.006578,100.0632946
13861.1254,27.75041773
13724.26107,47.9138962
12182.22462,47.6038563
7662.792364,-9.975597454
13189.78001,-57.67830667
21650.7068,-169.5480934
9114.129065,123.9060294
5851.229235,95.09816659
8007.181413,9.727887903
7169.457273,-54.62976551
8532.498046,58.37210289
7310.181508,-29.72263786
10633.45147,-86.60387422
18841.86335,19.56218217
6855.865196,46.3316127
11212.1161,-35.35017874
17498.59602,-222.4165219
12663.87402,-18.06168114
9926.263115,-97.87599904
11483.7588,112.9400915
8993.449607,10.8940469
6830.616413,33.95831564
10686.31599,-133.4439084
6496.129406,67.41704016
20801.56721,178.6750669
12779.13805,27.97011376
7815.655757,87.60403687
16027.77102,-121.3168605
6084.083124,86.66429761
20011.78947,249.3219662
6875.158702,49.14685981
7139.938952,-60.16631355
6627.557805,95.13068933
7208.938947,24.98038379
7528.330771,9.721089346
11578.00184,4.03019545
7040.235223,20.18052059
6607.310645,86.49478527
7703.315029,32.3094292
6074.34177,61.35177488
24656.62305,-262.2400876
7753.677925,3.569700183
22384.2992,1.626413341
7133.154968,-43.85364516
21710.18345,-122.2992043
6815.616153,69.74978666
29479.28047,-199.7236161
14402.38683,78.31525801
9408.952751,-14.23535039
17835.91119,200.9664169
8331.468534,106.3693524
8003.463354,-14.39997967
8821.350382,58.79017217
7695.894155,-25.71137791
28795.95756,213.0763377
7119.418578,-34.50596481
8636.449789,47.60558526
14869.816,-78.28833016
8488.566547,92.5044457
13270.86692,-135.7481041
16735.2301,73.99035282
28234.82218,-44.1994702
7667.708004,8.700853242
7030.014421,-29.64563211
6962.508349,-5.146793384
16726.99818,-159.8372589
25679.23157,-162.859712
12479.23338,25.09980753
13179.56305,-41.86524378
18276.55606,-26.90100278
13908.62358,-13.21920538
5660.473661,15.88235125
9206.282242,49.9827199
5626.539014,24.98063314
11831.28054,57.08417212
9842.872926,-70.00050732
8887.836349,105.0575616
7926.575374,13.66941925
12184.95471,-44.19693878
19649.79439,167.808777
9515.642431,17.65332896
26903.07255,254.9676782
30672.79566,311.7677101
6767.31439,25.25287253
7576.506435,1.969075434
24347.5954,-369.9096959
7055.290576,-27.97144564
